polutan,segmen,model_terbaik,mae_before,rmse_before,r2_before,mae_tuned,rmse_tuned,r2_tuned,mae_final,rmse_final,r2_final,model_path
PM25,PAGI,BayesianRidge,0.7071,0.9579,0.998,0.7997,1.0419,0.9979,0.7071,0.9579,0.998,models/pm25_pagi_best.pkl
PM10,PAGI,BayesianRidge,0.7257,0.9874,0.9979,0.8276,1.0697,0.9978,0.7257,0.9874,0.9979,models/pm10_pagi_best.pkl
CO,PAGI,LGBMRegressor,0.1687,0.2361,0.8315,0.2074,0.2843,0.7582,0.1687,0.2361,0.8315,models/co_pagi_best.pkl
NO2,PAGI,LGBMRegressor,3.5041,4.9069,0.9008,4.2378,6.3573,0.846,3.5041,4.9069,0.9008,models/no2_pagi_best.pkl
O3,PAGI,LGBMRegressor,11.5384,15.2594,0.8871,11.8563,14.9884,0.875,11.5384,15.2594,0.8871,models/o3_pagi_best.pkl
PM25,SIANG,BayesianRidge,0.3534,0.4879,0.9974,0.3563,0.5219,0.9973,0.3534,0.4879,0.9974,models/pm25_siang_best.pkl
PM10,SIANG,BayesianRidge,0.3718,0.5127,0.9972,0.377,0.5416,0.9972,0.3718,0.5127,0.9972,models/pm10_siang_best.pkl
CO,SIANG,LGBMRegressor,0.1465,0.1963,0.8345,0.1626,0.2104,0.8288,0.1465,0.1963,0.8345,models/co_siang_best.pkl
NO2,SIANG,ExtraTreesRegressor,1.6263,3.0691,0.6528,3.2136,4.7661,0.7821,1.6263,3.0691,0.6528,models/no2_siang_best.pkl
O3,SIANG,LGBMRegressor,12.8673,16.8834,0.8253,13.5881,18.1284,0.8029,12.8673,16.8834,0.8253,models/o3_siang_best.pkl
PM25,SORE_MALAM,BayesianRidge,0.5388,0.7192,0.9989,0.5088,0.6522,0.9988,0.5088,0.6522,0.9988,models/pm25_sore_malam_best.pkl
PM10,SORE_MALAM,BayesianRidge,0.5343,0.716,0.9989,0.5057,0.6465,0.9989,0.5057,0.6465,0.9989,models/pm10_sore_malam_best.pkl
CO,SORE_MALAM,ExtraTreesRegressor,0.2583,0.3512,0.8327,0.3864,0.4817,0.6767,0.2583,0.3512,0.8327,models/co_sore_malam_best.pkl
NO2,SORE_MALAM,ExtraTreesRegressor,3.9661,5.878,0.9084,4.9615,6.6105,0.8118,3.9661,5.878,0.9084,models/no2_sore_malam_best.pkl
O3,SORE_MALAM,ExtraTreesRegressor,6.3425,8.9055,0.8238,9.5606,12.6698,0.6729,6.3425,8.9055,0.8238,models/o3_sore_malam_best.pkl
